sensor,agg,axis,feature_name,feature_importance
fBodyAcc,maxInds,Y,fBodyAcc-maxInds-Y,0.00018392951189212983
fBodyAcc,maxInds,Z,fBodyAcc-maxInds-Z,6.528249041407394e-05
fBodyAcc,meanFreq(),X,fBodyAcc-meanFreq()-X,0.0014976271184551635
fBodyAcc,meanFreq(),Y,fBodyAcc-meanFreq()-Y,0.0007497618951509944
fBodyAcc,meanFreq(),Z,fBodyAcc-meanFreq()-Z,0.0015615292792661897
fBodyAcc,skewness(),X,fBodyAcc-skewness()-X,0.0012050445715408593
fBodyAcc,kurtosis(),X,fBodyAcc-kurtosis()-X,0.0017836244907395826
fBodyAcc,skewness(),Y,fBodyAcc-skewness()-Y,0.001684103915415206
fBodyAcc,kurtosis(),Y,fBodyAcc-kurtosis()-Y,0.0010815218243486273
fBodyAcc,skewness(),Z,fBodyAcc-skewness()-Z,0.0007071255165914972
fBodyAcc,kurtosis(),Z,fBodyAcc-kurtosis()-Z,0.00034859769056280146
fBodyAcc,bandsEnergy(),"1,8","fBodyAcc-bandsEnergy()-1,8",0.003930562070549961
fBodyAcc,bandsEnergy(),"9,16","fBodyAcc-bandsEnergy()-9,16",0.0006696043139773708
fBodyAcc,bandsEnergy(),"17,24","fBodyAcc-bandsEnergy()-17,24",0.0003223241175644906
fBodyAcc,bandsEnergy(),"25,32","fBodyAcc-bandsEnergy()-25,32",0.00027477613247360176
fBodyAcc,bandsEnergy(),"33,40","fBodyAcc-bandsEnergy()-33,40",0.00017291485778641845
fBodyAcc,bandsEnergy(),"41,48","fBodyAcc-bandsEnergy()-41,48",0.00011450717090839118
fBodyAcc,bandsEnergy(),"49,56","fBodyAcc-bandsEnergy()-49,56",0.00020541837485964123
fBodyAcc,bandsEnergy(),"57,64","fBodyAcc-bandsEnergy()-57,64",0.00020226669627888073
fBodyAcc,bandsEnergy(),"1,16","fBodyAcc-bandsEnergy()-1,16",0.0035463569717885603
fBodyAcc,bandsEnergy(),"17,32","fBodyAcc-bandsEnergy()-17,32",0.0002673211086942096
fBodyAcc,bandsEnergy(),"33,48","fBodyAcc-bandsEnergy()-33,48",0.000765295944853684
fBodyAcc,bandsEnergy(),"49,64","fBodyAcc-bandsEnergy()-49,64",0.00011716910743372689
fBodyAcc,bandsEnergy(),"1,24","fBodyAcc-bandsEnergy()-1,24",0.004830934394650959
