사용일자,요일,노선명,역명,승하차총승객수
2019-01-02,수,5호선,김포공항,15385.0
2019-01-02,수,5호선,송정,18608.0
2019-01-02,수,5호선,마곡,14344.0
2019-01-02,수,5호선,발산,36602.0
2019-01-02,수,5호선,우장산,33282.0
2019-01-02,수,5호선,화곡,62170.0
2019-01-02,수,2호선,까치산,63826.0
2019-01-02,수,5호선,신정,28497.0
2019-01-02,수,5호선,목동,40828.0
2019-01-02,수,5호선,오목교,54702.0
2019-01-02,수,2호선,영등포구청,8416.0
2019-01-02,수,5호선,영등포시장,21142.0
2019-01-02,수,1호선,신길,8179.0
2019-01-02,수,5호선,여의도,59470.0
2019-01-02,수,5호선,여의나루,16157.0
2019-01-02,수,5호선,마포,32454.0
2019-01-02,수,5호선,애오개,16056.0
2019-01-02,수,2호선,충정로,10176.0
2019-01-02,수,5호선,서대문,40630.0
2019-01-02,수,5호선,광화문,83802.0
2019-01-02,수,3호선,종로3가,34993.0
2019-01-02,수,2호선,을지로4가,12079.0
2019-01-02,수,2호선,동대문역사문화공원,7668.0
2019-01-02,수,5호선,청구,8531.0
2019-01-02,수,5호선,신금호,14140.0
2019-01-02,수,5호선,행당,17612.0
2019-01-02,수,5호선,마장,12445.0
2019-01-02,수,5호선,답십리,34206.0
2019-01-02,수,5호선,장한평,41261.0
2019-01-02,수,5호선,군자,24435.0
2019-01-02,수,5호선,아차산,29241.0
2019-01-02,수,5호선,광나루,28646.0
2019-01-02,수,5호선,천호,42904.0
2019-01-02,수,5호선,강동,39559.0
2019-01-02,수,5호선,길동,16901.0
2019-01-02,수,5호선,굽은다리,20435.0
2019-01-02,수,5호선,명일,18423.0
2019-01-02,수,5호선,고덕,20272.0
2019-01-02,수,5호선,상일동,26205.0
2019-01-02,수,5호선,둔촌동,19591.0
2019-01-02,수,5호선,올림픽공원,8475.0
2019-01-02,수,5호선,방이,16434.0
2019-01-02,수,3호선,오금,8209.0
2019-01-02,수,5호선,개롱,14915.0
2019-01-02,수,5호선,거여,15707.0
2019-01-02,수,5호선,마천,10791.0
2019-01-02,수,6호선,응암,38197.0
2019-01-02,수,6호선,역촌,9081.0
2019-01-02,수,3호선,불광,10712.0
2019-01-02,수,6호선,독바위,6365.0
2019-01-02,수,3호선,연신내,1.0
2019-01-02,수,6호선,구산,14933.0
2019-01-02,수,6호선,새절,27314.0
2019-01-02,수,6호선,증산,21186.0
2019-01-02,수,6호선,월드컵경기장,10554.0
2019-01-02,수,6호선,마포구청,29710.0
2019-01-02,수,6호선,망원,29886.0
2019-01-02,수,2호선,합정,29667.0
2019-01-02,수,6호선,상수,21425.0
2019-01-02,수,6호선,광흥창,20536.0
2019-01-02,수,6호선,대흥,18232.0
2019-01-02,수,4호선,삼각지,12631.0
2019-01-02,수,6호선,녹사평,10849.0
2019-01-02,수,6호선,이태원,29131.0
2019-01-02,수,6호선,한강진,19107.0
2019-01-02,수,6호선,버티고개,5043.0
2019-01-02,수,3호선,약수,8231.0
2019-01-02,수,5호선,청구,8296.0
2019-01-02,수,2호선,신당,18238.0
2019-01-02,수,6호선,동묘앞,17608.0
2019-01-02,수,6호선,창신,7171.0
2019-01-02,수,6호선,보문,15004.0
2019-01-02,수,6호선,안암,25515.0
2019-01-02,수,6호선,고려대,18562.0
2019-01-02,수,6호선,월곡,26119.0
2019-01-02,수,6호선,상월곡,12241.0
2019-01-02,수,6호선,돌곶이,17485.0
2019-01-02,수,1호선,석계,27640.0
2019-01-02,수,6호선,태릉입구,11993.0
2019-01-02,수,6호선,화랑대,23700.0
2019-01-02,수,6호선,봉화산,20879.0
2019-01-02,수,1호선,도봉산,20557.0
2019-01-02,수,7호선,수락산,28275.0
2019-01-02,수,7호선,마들,25123.0
2019-01-02,수,4호선,노원,47768.0
2019-01-02,수,7호선,중계,33065.0
2019-01-02,수,7호선,하계,40222.0
2019-01-02,수,7호선,공릉,25452.0
2019-01-02,수,6호선,태릉입구,17086.0
2019-01-02,수,7호선,먹골,22692.0
2019-01-02,수,7호선,중화,24389.0
2019-01-02,수,7호선,면목,32534.0
2019-01-02,수,7호선,사가정,33643.0
2019-01-02,수,7호선,용마산,13304.0
